Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UAB,Chance Westry,3,11,0.2727272727272727,11.423879200053692,7,-4.423879200053692,0,0,0.0,0.0,0,0.0,11.423879200053692,7,-4.423879200053692
UAB,Ahmad Robinson,4,12,0.3333333333333333,11.138872036870703,9,-2.138872036870703,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.578633738460413,11,-1.5786337384604128
UAB,Evan Chatman,4,9,0.4444444444444444,9.455299793539982,8,-1.4552997935399823,3,4,0.75,2.879523403179419,3,0.12047659682058098,12.334823196719402,11,-1.3348231967194017
UAB,Daniel Rivera,4,9,0.4444444444444444,8.608886582952408,8,-0.6088865829524082,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.048648284542118,9,-1.048648284542118
UAB,Jacob Meyer,1,5,0.2,4.8194355783038025,2,-2.8194355783038025,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.259197279893512,4,-2.2591972798935123
UAB,Dayjaun Anderson,4,8,0.5,8.482144262273685,12,3.5178557377263147,0,0,0.0,0.0,0,0.0,8.482144262273685,12,3.5178557377263147
UAB,KyeRon Lindsay-Martin,1,5,0.2,4.356571304913517,2,-2.3565713049135173,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.236094708092937,5,-2.2360947080929368
UAB,Quaran McPherson,0,1,0.0,1.0535001390728422,0,-1.0535001390728422,0,0,0.0,0.0,0,0.0,1.0535001390728422,0,-1.0535001390728422
UAB,Salim London,1,3,0.3333333333333333,2.5523953648742763,2,-0.5523953648742763,0,0,0.0,0.0,0,0.0,2.5523953648742763,2,-0.5523953648742763
Middle Tennessee,Chris Loofe,1,5,0.2,4.485574655700691,2,-2.485574655700691,0,0,0.0,0.0,0,0.0,4.485574655700691,2,-2.485574655700691
Middle Tennessee,Tre Green,3,8,0.375,9.424030518227372,8,-1.4240305182273723,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.863792219817082,10,-0.863792219817082
Middle Tennessee,Jahvin Carter,6,11,0.5454545454545454,10.195551041128619,13,2.8044489588713812,0,0,0.0,0.0,0,0.0,10.195551041128619,13,2.8044489588713812
Middle Tennessee,Kamari Lands,4,9,0.4444444444444444,8.329237784874884,10,1.6707622151251158,0,0,0.0,0.0,0,0.0,8.329237784874884,10,1.6707622151251158
Middle Tennessee,Alec Oglesby,1,2,0.5,1.7786994596442305,2,0.22130054035576951,0,0,0.0,0.0,0,0.0,1.7786994596442305,2,0.22130054035576951
Middle Tennessee,Torey Alston,7,11,0.6363636363636364,11.060927562892726,14,2.9390724371072743,5,5,1.0,3.599404253974274,5,1.4005957460257261,14.660331816867,19,4.339668183133
Middle Tennessee,Sean Smith,5,10,0.5,9.247605643782675,13,3.7523943562173248,3,5,0.6,3.599404253974274,3,-0.5994042539742739,12.84700989775695,16,3.1529901022430504
Middle Tennessee,Jarred Hall,0,1,0.0,1.116449846507357,0,-1.116449846507357,0,0,0.0,0.0,0,0.0,1.116449846507357,0,-1.116449846507357
Middle Tennessee,Luka Jovanovic,2,4,0.5,3.7076704286140014,4,0.2923295713859986,0,0,0.0,0.0,0,0.0,3.7076704286140014,4,0.2923295713859986
