Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Western Illinois,Antwaun Massey,3,9,0.3333333333333333,8.658556694314342,6,-2.658556694314342,3,6,0.5,4.319289318040844,3,-1.3192893180408438,12.977846012355187,9,-3.9778460123551866
Western Illinois,Lucas Lorenzen,7,16,0.4375,15.660672383974859,17,1.339327616025141,4,6,0.6666666666666666,4.319289318040844,4,-0.3192893180408438,19.979961702015704,21,1.0200382979842963
Western Illinois,Makai Kvamme,2,5,0.4,4.46884842382441,4,-0.4688484238244097,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.908611529838025,6,0.09138847016197538
Western Illinois,Karyiek Dixon,2,5,0.4,4.500205816853424,4,-0.5002058168534242,0,3,0.0,2.159644659020422,0,-2.159644659020422,6.659850475873846,4,-2.6598504758738457
Western Illinois,Marcus Pigram,0,3,0.0,2.3593530896720205,0,-2.3593530896720205,0,0,0.0,0.0,0,0.0,2.3593530896720205,0,-2.3593530896720205
Western Illinois,Isaiah Griffin,2,6,0.3333333333333333,4.959878308724078,4,-0.9598783087240781,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.399641414737693,6,-0.399641414737693
Western Illinois,Francis Okwuosah,0,4,0.0,4.046262461838387,0,-4.046262461838387,0,0,0.0,0.0,0,0.0,4.046262461838387,0,-4.046262461838387
Western Illinois,Goanar Biliew,1,2,0.5,2.006915969129305,2,-0.006915969129305033,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.44667907514292,4,0.5533209248570801
Western Illinois,Tyran Cook,3,4,0.75,3.4530721099940385,7,3.5469278900059615,0,0,0.0,0.0,0,0.0,3.4530721099940385,7,3.5469278900059615
Drake,Jaehshon Thomas,9,12,0.75,11.68042846575651,22,10.31957153424349,0,0,0.0,0.0,0,0.0,11.68042846575651,22,10.31957153424349
Drake,Okku Federiko,5,6,0.8333333333333334,5.646935706291407,10,4.353064293708593,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.086698812305022,12,4.913301187694978
Drake,Wilguens Jr. Exacte,3,4,0.75,3.8283153967265475,6,2.1716846032734525,3,4,0.75,2.8795262120272294,3,0.12047378797277064,6.707841608753776,9,2.2921583912462236
Drake,Jalen Quinn,6,7,0.8571428571428571,6.360725843076888,13,6.639274156923112,4,4,1.0,2.8795262120272294,4,1.1204737879727706,9.240252055104117,17,7.759747944895883
Drake,Braden Appelhans,10,14,0.7142857142857143,14.557847281194714,30,15.442152718805286,0,0,0.0,0.0,0,0.0,14.557847281194714,30,15.442152718805286
Drake,Andrew Alia,1,3,0.3333333333333333,2.5886332877184737,3,0.4113667122815263,0,0,0.0,0.0,0,0.0,2.5886332877184737,3,0.4113667122815263
Drake,Eli Shetlar,3,6,0.5,5.945128732190872,9,3.054871267809128,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.384891838204487,11,3.615108161795513
Drake,Griffen Goodbary,1,2,0.5,1.8708709661850143,2,0.12912903381498575,0,0,0.0,0.0,0,0.0,1.8708709661850143,2,0.12912903381498575
Drake,Isaiah Carr,1,2,0.5,2.204002922300254,2,-0.20400292230025396,0,0,0.0,0.0,0,0.0,2.204002922300254,2,-0.20400292230025396
